date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2006-11-19,Vikings,Dolphins,25,5,17,4,4,26,44,247,35,114,361,3,15,2,1,3,6,49,2,4,0,15,36.0,15,5,13,0,0,26,42,247,13,7,254,1,7,1,1,2,5,40,1,3,4,14,24.0,20,24,1
2006-11-26,Cardinals,Vikings,30,7,15,2,2,27,41,255,33,157,412,2,16,1,0,1,8,63,4,5,0,11,36.53333333333333,22,2,9,2,3,31,51,395,6,17,412,1,10,3,2,5,8,64,1,4,3,12,23.466666666666665,26,31,1
2006-12-03,Vikings,Bears,21,4,17,1,1,21,39,156,33,190,346,5,22,1,4,5,12,69,1,3,0,15,39.35,6,2,11,1,1,6,19,24,25,83,107,1,10,2,3,5,9,65,0,0,3,16,20.65,13,23,1
2006-12-10,Vikings,Lions,21,7,13,1,1,14,22,156,44,172,328,1,3,1,1,2,7,50,4,6,0,13,35.516666666666666,20,4,10,1,2,28,41,283,10,-3,280,3,11,3,3,6,6,50,0,2,2,12,24.483333333333334,30,20,0
2006-12-17,Jets,Vikings,15,2,13,1,1,24,40,245,15,62,307,3,28,0,1,1,8,56,1,2,0,12,23.566666666666663,21,7,14,0,1,29,40,323,29,68,391,2,16,1,1,2,7,55,1,4,0,13,36.43333333333333,26,13,0
2006-12-21,Vikings,Packers,3,2,14,0,1,10,20,27,22,77,104,3,23,0,1,1,10,68,0,0,2,13,25.35,19,7,19,0,0,26,51,273,24,46,319,1,12,1,2,3,4,35,0,3,0,15,34.65,7,9,1
2006-12-31,Rams,Vikings,17,6,14,0,0,21,35,211,22,82,293,4,14,0,2,2,5,35,3,3,0,13,28.1,23,5,12,1,1,19,31,248,36,168,416,0,0,0,0,0,4,62,3,3,2,12,31.9,41,21,0
2007-09-09,Falcons,Vikings,15,3,9,0,0,13,23,163,27,139,302,0,0,0,1,1,4,35,0,0,4,10,26.983333333333334,17,8,16,0,0,23,32,169,28,96,265,6,30,0,2,2,6,40,0,0,0,11,33.016666666666666,3,24,1
2007-09-16,Vikings,Lions,17,8,18,0,0,20,37,190,33,123,313,2,2,1,4,5,12,96,1,2,2,15,32.583333333333336,29,4,13,0,0,35,56,359,21,56,415,4,34,2,3,5,7,45,2,5,0,15,33.5,17,20,1
2007-09-23,Vikings,Chiefs,18,4,15,0,2,14,29,133,29,123,256,5,36,1,0,1,6,45,1,2,0,12,28.383333333333333,14,6,15,0,0,20,29,201,31,50,251,1,5,1,0,1,10,61,1,2,0,10,31.616666666666667,10,13,1
2007-09-30,Packers,Vikings,20,5,15,1,1,21,39,227,21,155,382,5,31,1,1,2,7,40,1,2,0,11,29.033333333333335,20,7,14,1,1,32,45,338,20,46,384,1,6,2,0,2,6,40,1,3,0,13,30.966666666666665,23,16,0
2007-10-14,Vikings,Bears,16,5,16,0,0,9,23,133,43,311,444,1,3,0,0,0,2,10,0,0,0,16,31.316666666666663,20,6,15,0,1,26,45,375,24,83,458,1,6,2,2,4,4,28,0,1,1,15,28.683333333333337,34,31,0
2007-10-21,Vikings,Cowboys,11,2,12,1,1,6,19,65,27,131,196,3,7,1,0,1,4,36,0,0,2,12,23.416666666666668,22,7,15,0,1,31,39,253,29,128,381,3,24,2,0,2,4,22,2,4,1,12,36.583333333333336,14,24,1
2007-10-28,Eagles,Vikings,20,3,12,0,0,14,26,151,29,105,256,4,31,0,0,0,6,73,1,3,0,11,29.066666666666663,22,6,13,0,0,23,36,323,26,62,385,2,10,0,0,0,8,70,2,5,0,10,30.933333333333337,23,16,0
2007-11-04,Chargers,Vikings,26,6,13,1,1,13,22,150,43,378,528,1,8,2,0,2,11,81,2,3,0,14,34.11666666666667,14,4,16,0,1,19,42,187,20,42,229,1,10,1,1,2,10,67,1,3,0,14,25.883333333333333,17,35,1
2007-11-11,Vikings,Packers,11,0,8,0,3,16,26,161,15,86,247,3,15,0,1,1,5,51,0,1,0,9,19.333333333333332,29,11,17,2,2,35,48,368,32,120,488,0,0,0,0,0,4,35,3,3,0,10,40.666666666666664,0,34,1
