date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2006-12-31,Falcons,Eagles,21,4,11,0,0,23,36,350,17,43,393,0,0,1,0,1,11,108,2,3,0,12,24.7,21,7,17,0,2,23,35,219,34,159,378,5,37,0,1,1,9,99,2,3,0,12,35.3,17,24,1
2007-09-09,Eagles,Packers,13,8,18,0,0,15,33,180,29,103,283,1,4,2,1,3,8,76,1,2,0,12,31.8,10,6,18,0,0,23,42,169,17,46,215,4,37,1,1,2,6,35,0,1,2,14,28.2,13,16,1
2007-09-17,Commanders,Eagles,18,4,16,2,3,28,46,226,20,114,340,3,14,0,0,0,2,15,0,4,0,11,29.933333333333337,19,8,15,0,0,16,29,207,33,130,337,1,2,0,1,1,5,25,2,4,0,11,30.066666666666663,20,12,0
2007-09-23,Lions,Eagles,29,3,8,0,0,21,26,363,34,173,536,3,18,2,0,2,5,35,4,6,0,16,32.5,20,4,14,0,2,29,46,393,11,39,432,10,53,2,1,3,9,65,2,5,0,13,27.5,21,56,1
2007-09-30,Eagles,Giants,16,5,16,0,1,15,31,76,23,114,190,12,62,1,0,1,15,132,0,2,0,12,30.433333333333337,16,3,11,0,0,14,26,129,27,83,212,1,6,0,1,1,4,27,1,4,2,13,29.566666666666663,3,16,1
2007-10-14,Eagles,Jets,20,9,16,0,0,22,35,262,28,151,413,3,16,0,1,1,2,14,0,4,0,10,31.933333333333337,15,5,14,0,1,11,21,109,32,158,267,3,19,0,1,1,0,0,0,4,0,10,28.066666666666663,16,9,0
2007-10-21,Bears,Eagles,21,7,14,0,0,21,34,211,25,123,334,3,15,0,0,0,5,32,1,4,0,9,30.516666666666666,19,8,16,0,0,27,41,314,23,72,386,1,8,0,0,0,7,51,1,3,0,9,29.483333333333334,19,16,0
2007-10-28,Eagles,Vikings,22,6,13,0,0,23,36,323,26,62,385,2,10,0,0,0,8,70,2,5,0,10,30.933333333333337,20,3,12,0,0,14,26,151,29,105,256,4,31,0,0,0,6,73,1,3,0,11,29.066666666666663,23,16,0
2007-11-04,Cowboys,Eagles,21,6,15,3,3,27,46,250,19,66,316,3,14,1,2,3,5,35,2,3,0,10,27.683333333333337,24,8,12,0,0,20,25,324,32,110,434,0,0,0,1,1,3,35,3,4,0,10,32.31666666666667,38,17,0
2007-11-11,Eagles,Commanders,22,6,10,1,1,20,28,240,28,139,379,2,11,2,0,2,5,38,4,4,0,10,27.416666666666668,25,6,12,0,2,23,34,203,36,158,361,1,12,2,0,2,11,74,3,5,0,11,32.583333333333336,33,25,0
2007-11-18,Dolphins,Eagles,20,8,16,0,0,16,30,150,39,202,352,0,0,0,3,3,4,40,2,3,0,11,34.81666666666667,9,2,11,0,1,9,22,109,25,77,186,0,0,0,0,0,3,15,0,1,1,12,25.183333333333337,7,17,1
